,Survived,Pclass,Age,cat_male,cat_Q,cat_S,cat_Miss,cat_Mr,cat_Mrs,cat_Other,cat_big,cat_small
263,0,1,40.0,1,0,1,0,1,0,0,0,0
264,0,-1,18.0,0,1,0,1,0,0,0,0,0
265,0,0,36.0,1,0,1,0,1,0,0,0,0
266,0,-1,16.0,1,0,1,0,1,0,0,1,0
267,1,-1,25.0,1,0,1,0,1,0,0,0,1
268,1,1,58.0,0,0,1,0,0,1,0,0,1
269,1,1,35.0,0,0,1,1,0,0,0,0,0
270,0,1,40.0,1,0,1,0,1,0,0,0,0
271,1,-1,25.0,1,0,1,0,1,0,0,0,0
272,1,0,41.0,0,0,1,0,0,1,0,0,1
273,0,1,37.0,1,0,0,0,1,0,0,0,1
274,1,-1,18.0,0,1,0,1,0,0,0,0,0
275,1,1,63.0,0,0,1,1,0,0,0,0,1
276,0,-1,45.0,0,0,1,1,0,0,0,0,0
277,0,0,31.0,1,0,1,0,1,0,0,0,0
278,0,-1,7.0,1,1,0,0,0,0,0,1,0
279,1,-1,35.0,0,0,1,0,0,1,0,0,1
280,0,-1,65.0,1,1,0,0,1,0,0,0,0
281,0,-1,28.0,1,0,1,0,1,0,0,0,0
282,0,-1,16.0,1,0,1,0,1,0,0,0,0
283,1,-1,19.0,1,0,1,0,1,0,0,0,0
284,0,1,40.0,1,0,1,0,1,0,0,0,0
285,0,-1,33.0,1,0,0,0,1,0,0,0,0
286,1,-1,30.0,1,0,1,0,1,0,0,0,0
287,0,-1,22.0,1,0,1,0,1,0,0,0,0
288,1,0,42.0,1,0,1,0,1,0,0,0,0
289,1,-1,22.0,0,1,0,1,0,0,0,0,0
290,1,1,26.0,0,0,1,1,0,0,0,0,0
291,1,1,19.0,0,0,0,0,0,1,0,0,1
292,0,0,36.0,1,0,0,0,1,0,0,0,0
293,0,-1,24.0,0,0,1,1,0,0,0,0,0
294,0,-1,24.0,1,0,1,0,1,0,0,0,0
295,0,1,40.0,1,0,0,0,1,0,0,0,0
296,0,-1,23.5,1,0,0,0,1,0,0,0,0
297,0,1,2.0,0,0,1,1,0,0,0,0,1
298,1,1,40.0,1,0,1,0,1,0,0,0,0
299,1,1,50.0,0,0,0,0,0,1,0,0,1
300,1,-1,18.0,0,1,0,1,0,0,0,0,0
301,1,-1,26.0,1,1,0,0,1,0,0,0,1
302,0,-1,19.0,1,0,1,0,1,0,0,0,0
303,1,0,24.0,0,1,0,1,0,0,0,0,0
304,0,-1,26.0,1,0,1,0,1,0,0,0,0
305,1,1,0.92,1,0,1,0,0,0,0,0,1
306,1,1,30.0,0,0,0,1,0,0,0,0,0
307,1,1,17.0,0,0,0,0,0,1,0,0,1
308,0,0,30.0,1,0,0,0,1,0,0,0,1
309,1,1,30.0,0,0,0,1,0,0,0,0,0
310,1,1,24.0,0,0,0,1,0,0,0,0,0
311,1,1,18.0,0,0,0,1,0,0,0,1,0
312,0,0,26.0,0,0,1,0,0,1,0,0,1
313,0,-1,28.0,1,0,1,0,1,0,0,0,0
314,0,0,43.0,1,0,1,0,1,0,0,0,1
315,1,-1,26.0,0,0,1,1,0,0,0,0,0
316,1,0,24.0,0,0,1,0,0,1,0,0,1
317,0,0,54.0,1,0,1,0,0,0,1,0,0
318,1,1,31.0,0,0,1,1,0,0,0,0,1
319,1,1,40.0,0,0,0,0,0,1,0,0,1
320,0,-1,22.0,1,0,1,0,1,0,0,0,0
321,0,-1,27.0,1,0,1,0,1,0,0,0,0
322,1,0,30.0,0,1,0,1,0,0,0,0,0
323,1,0,22.0,0,0,1,0,0,1,0,0,1
324,0,-1,26.0,1,0,1,0,1,0,0,1,0
325,1,1,36.0,0,0,0,1,0,0,0,0,0
326,0,-1,61.0,1,0,1,0,1,0,0,0,0
327,1,0,36.0,0,0,1,0,0,1,0,0,0
328,1,-1,31.0,0,0,1,0,0,1,0,0,1
329,1,1,16.0,0,0,0,1,0,0,0,0,1
330,1,-1,18.0,0,1,0,1,0,0,0,0,1
331,0,1,45.5,1,0,1,0,1,0,0,0,0
332,0,1,38.0,1,0,1,0,1,0,0,0,1
333,0,-1,16.0,1,0,1,0,1,0,0,0,1
334,1,1,40.0,0,0,1,0,0,1,0,0,1
335,0,-1,26.0,1,0,1,0,1,0,0,0,0
336,0,1,29.0,1,0,1,0,1,0,0,0,1
337,1,1,41.0,0,0,0,1,0,0,0,0,0
338,1,-1,45.0,1,0,1,0,1,0,0,0,0
339,0,1,45.0,1,0,1,0,1,0,0,0,0
340,1,0,2.0,1,0,1,0,0,0,0,0,1
341,1,1,24.0,0,0,1,1,0,0,0,1,0
342,0,0,28.0,1,0,1,0,1,0,0,0,0
343,0,0,25.0,1,0,1,0,1,0,0,0,0
344,0,0,36.0,1,0,1,0,1,0,0,0,0
345,1,0,24.0,0,0,1,1,0,0,0,0,0
346,1,0,40.0,0,0,1,1,0,0,0,0,0
347,1,-1,31.0,0,0,1,0,0,1,0,0,1
348,1,-1,3.0,1,0,1,0,0,0,0,0,1
349,0,-1,42.0,1,0,1,0,1,0,0,0,0
350,0,-1,23.0,1,0,1,0,1,0,0,0,0
351,0,1,40.0,1,0,1,0,1,0,0,0,0
352,0,-1,15.0,1,0,0,0,1,0,0,0,1
353,0,-1,25.0,1,0,1,0,1,0,0,0,1
354,0,-1,26.0,1,0,0,0,1,0,0,0,0
355,0,-1,28.0,1,0,1,0,1,0,0,0,0
356,1,1,22.0,0,0,1,1,0,0,0,0,1
357,0,0,38.0,0,0,1,1,0,0,0,0,0
358,1,-1,18.0,0,1,0,1,0,0,0,0,0
359,1,-1,18.0,0,1,0,1,0,0,0,0,0
360,0,-1,40.0,1,0,1,0,1,0,0,1,0
361,0,0,29.0,1,0,0,0,1,0,0,0,1
362,0,-1,45.0,0,0,0,0,0,1,0,0,1
363,0,-1,35.0,1,0,1,0,1,0,0,0,0
364,0,-1,26.0,1,1,0,0,1,0,0,0,1
365,0,-1,30.0,1,0,1,0,1,0,0,0,0
366,1,1,60.0,0,0,0,0,0,1,0,0,1
367,1,-1,31.0,0,0,0,0,0,1,0,0,0
368,1,-1,18.0,0,1,0,1,0,0,0,0,0
369,1,1,24.0,0,0,0,0,0,1,0,0,0
370,1,1,25.0,1,0,0,0,1,0,0,0,1
371,0,-1,18.0,1,0,1,0,1,0,0,0,1
372,0,-1,19.0,1,0,1,0,1,0,0,0,0
373,0,1,22.0,1,0,0,0,1,0,0,0,0
374,0,-1,3.0,0,0,1,1,0,0,0,1,0
375,1,1,40.0,0,0,0,0,0,1,0,0,1
376,1,-1,22.0,0,0,1,1,0,0,0,0,0
377,0,1,27.0,1,0,0,0,1,0,0,0,1
378,0,-1,20.0,1,0,0,0,1,0,0,0,0
379,0,-1,19.0,1,0,1,0,1,0,0,0,0
380,1,1,42.0,0,0,0,1,0,0,0,0,0
381,1,-1,1.0,0,0,0,1,0,0,0,0,1
382,0,-1,32.0,1,0,1,0,1,0,0,0,0
383,1,1,35.0,0,0,1,0,0,1,0,0,1
384,0,-1,26.0,1,0,1,0,1,0,0,0,0
385,0,0,18.0,1,0,1,0,1,0,0,0,0
386,0,-1,1.0,1,0,1,0,0,0,0,1,0
387,1,0,36.0,0,0,1,1,0,0,0,0,0
388,0,-1,26.0,1,1,0,0,1,0,0,0,0
389,1,0,17.0,0,0,0,1,0,0,0,0,0
390,1,1,36.0,1,0,1,0,1,0,0,0,1
391,1,-1,21.0,1,0,1,0,1,0,0,0,0
392,0,-1,28.0,1,0,1,0,1,0,0,0,1
393,1,1,23.0,0,0,0,1,0,0,0,0,1
394,1,-1,24.0,0,0,1,0,0,1,0,0,1
395,0,-1,22.0,1,0,1,0,1,0,0,0,0
396,0,-1,31.0,0,0,1,1,0,0,0,0,0
397,0,0,46.0,1,0,1,0,1,0,0,0,0
398,0,0,23.0,1,0,1,0,0,0,1,0,0
399,1,0,28.0,0,0,1,0,0,1,0,0,0
400,1,-1,39.0,1,0,1,0,1,0,0,0,0
401,0,-1,26.0,1,0,1,0,1,0,0,0,0
402,0,-1,21.0,0,0,1,1,0,0,0,0,1
403,0,-1,28.0,1,0,1,0,1,0,0,0,1
404,0,-1,20.0,0,0,1,1,0,0,0,0,0
405,0,0,34.0,1,0,1,0,1,0,0,0,1
406,0,-1,51.0,1,0,1,0,1,0,0,0,0
407,1,0,3.0,1,0,1,0,0,0,0,0,1
408,0,-1,21.0,1,0,1,0,1,0,0,0,0
409,0,-1,18.0,0,0,1,1,0,0,0,1,0
410,0,-1,26.0,1,0,1,0,1,0,0,0,0
411,0,-1,26.0,1,1,0,0,1,0,0,0,0
412,1,1,33.0,0,1,0,1,0,0,0,0,1
413,0,0,31.0,1,0,1,0,1,0,0,0,0
414,1,-1,44.0,1,0,1,0,1,0,0,0,0
415,0,-1,31.0,0,0,1,0,0,1,0,0,0
416,1,0,34.0,0,0,1,0,0,1,0,0,1
417,1,0,18.0,0,0,1,1,0,0,0,0,1
418,0,0,30.0,1,0,1,0,1,0,0,0,0
419,0,-1,10.0,0,0,1,1,0,0,0,0,1
420,0,-1,26.0,1,0,0,0,1,0,0,0,0
421,0,-1,21.0,1,1,0,0,1,0,0,0,0
422,0,-1,29.0,1,0,1,0,1,0,0,0,0
423,0,-1,28.0,0,0,1,0,0,1,0,0,1
424,0,-1,18.0,1,0,1,0,1,0,0,0,1
425,0,-1,26.0,1,0,1,0,1,0,0,0,0
426,1,0,28.0,0,0,1,0,0,1,0,0,1
427,1,0,19.0,0,0,1,1,0,0,0,0,0
428,0,-1,26.0,1,1,0,0,1,0,0,0,0
429,1,-1,32.0,1,0,1,0,1,0,0,0,0
430,1,1,28.0,1,0,1,0,1,0,0,0,0
431,1,-1,31.0,0,0,1,0,0,1,0,0,1
432,1,0,42.0,0,0,1,0,0,1,0,0,1
433,0,-1,17.0,1,0,1,0,1,0,0,0,0
434,0,1,50.0,1,0,1,0,1,0,0,0,1
435,1,1,14.0,0,0,1,1,0,0,0,0,1
436,0,-1,21.0,0,0,1,1,0,0,0,1,0
437,1,0,24.0,0,0,1,0,0,1,0,1,0
438,0,1,64.0,1,0,1,0,1,0,0,1,0
439,0,0,31.0,1,0,1,0,1,0,0,0,0
440,1,0,45.0,0,0,1,0,0,1,0,0,1
441,0,-1,20.0,1,0,1,0,1,0,0,0,0
442,0,-1,25.0,1,0,1,0,1,0,0,0,1
443,1,0,28.0,0,0,1,1,0,0,0,0,0
444,1,-1,26.0,1,0,1,0,1,0,0,0,0
445,1,1,4.0,1,0,1,0,0,0,0,0,1
446,1,0,13.0,0,0,1,1,0,0,0,0,1
447,1,1,34.0,1,0,1,0,1,0,0,0,0
448,1,-1,5.0,0,0,0,1,0,0,0,0,1
449,1,1,52.0,1,0,1,0,0,0,1,0,0
450,0,0,36.0,1,0,1,0,1,0,0,0,1
451,0,-1,26.0,1,0,1,0,1,0,0,0,1
452,0,1,30.0,1,0,0,0,1,0,0,0,0
453,1,1,49.0,1,0,0,0,1,0,0,0,1
454,0,-1,26.0,1,0,1,0,1,0,0,0,0
455,1,-1,29.0,1,0,0,0,1,0,0,0,0
456,0,1,65.0,1,0,1,0,1,0,0,0,0
457,1,1,40.0,0,0,1,0,0,1,0,0,1
458,1,0,50.0,0,0,1,1,0,0,0,0,0
459,0,-1,26.0,1,1,0,0,1,0,0,0,0
460,1,1,48.0,1,0,1,0,1,0,0,0,0
461,0,-1,34.0,1,0,1,0,1,0,0,0,0
462,0,1,47.0,1,0,1,0,1,0,0,0,0
463,0,0,48.0,1,0,1,0,1,0,0,0,0
464,0,-1,26.0,1,0,1,0,1,0,0,0,0
465,0,-1,38.0,1,0,1,0,1,0,0,0,0
466,0,0,31.0,1,0,1,0,1,0,0,0,0
467,0,1,56.0,1,0,1,0,1,0,0,0,0
468,0,-1,26.0,1,1,0,0,1,0,0,0,0
469,1,-1,0.75,0,0,0,1,0,0,0,0,1
470,0,-1,26.0,1,0,1,0,1,0,0,0,0
471,0,-1,38.0,1,0,1,0,1,0,0,0,0
472,1,0,33.0,0,0,1,0,0,1,0,0,1
473,1,0,23.0,0,0,0,0,0,1,0,0,0
474,0,-1,22.0,0,0,1,1,0,0,0,0,0
475,0,1,40.0,1,0,1,0,1,0,0,0,0
476,0,0,34.0,1,0,1,0,1,0,0,0,1
477,0,-1,29.0,1,0,1,0,1,0,0,0,1
478,0,-1,22.0,1,0,1,0,1,0,0,0,0
479,1,-1,2.0,0,0,1,1,0,0,0,0,1
480,0,-1,9.0,1,0,1,0,0,0,0,1,0
481,0,0,31.0,1,0,1,0,1,0,0,0,0
482,0,-1,50.0,1,0,1,0,1,0,0,0,0
483,1,-1,63.0,0,0,1,0,0,1,0,0,0
484,1,1,25.0,1,0,0,0,1,0,0,0,1
